Category,Count,A_route_%,P_ground_%,S_sync_%,C_narr_%,Avg_Latency_ms
Abilities: Charge Guard,1,100%,100%,100%,100%,690
Abilities: Combo,1,100%,100%,0%,100%,894
Abilities: Condition Block,1,100%,100%,0%,100%,776
Abilities: Lay on Hands,1,100%,100%,100%,100%,666
Abilities: Pray,1,100%,100%,100%,100%,721
Abilities: Second Wind,1,100%,100%,100%,100%,804
Abilities: Smite,1,100%,100%,100%,100%,670
Edge: Impossible,5,100%,100%,100%,100%,1693
Edge: Rules,5,100%,100%,20%,100%,1620
Exploration: Guardrails,8,100%,100%,100%,100%,89
Exploration: Hybrid Routing,12,100%,100%,100%,100%,122
Flee: Contested,2,100%,100%,0%,100%,779
Flee: No Enemies,1,100%,100%,100%,0%,0
Path A: Items,5,100%,100%,80%,100%,1347
Path A: Melee,5,100%,100%,100%,100%,733
Path A: Movement,5,100%,100%,100%,100%,1587
Path A: Ranged,5,100%,100%,100%,100%,1103
Path B: Creative,5,100%,100%,100%,100%,2417
Path B: Improv,5,100%,100%,100%,100%,2970
Path B: Social,5,100%,100%,100%,100%,2720
Quest: Procedural Generation,10,100%,90%,90%,100%,4
System: AI,2,100%,100%,100%,100%,0
System: Memory,2,100%,100%,100%,100%,775
System: State,1,100%,100%,100%,100%,0
